store,address,date,review_cnt
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/11/2025,84
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/10/2025,60
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/09/2025,57
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/08/2025,73
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/07/2025,67
Manner Guoke Riverside,上海太平路国际港务大厦南60米（江边）,10/06/2025,108
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/11/2025,17
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/10/2025,26
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/09/2025,18
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/08/2025,14
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/07/2025,16
Manner Xuhui Riverside,上海斜土路街道瑞宁路243号（近滨江滑板公园）,10/06/2025,22
Manner Nanyang Road,上海南阳路205号（101室）,10/11/2025,16
Manner Nanyang Road,上海南阳路205号（101室）,10/10/2025,14
Manner Nanyang Road,上海南阳路205号（101室）,10/09/2025,5
Manner Nanyang Road,上海南阳路205号（101室）,10/08/2025,13
Manner Nanyang Road,上海南阳路205号（101室）,10/07/2025,6
Manner Nanyang Road,上海南阳路205号（101室）,10/06/2025,7
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/11/2025,2
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/10/2025,3
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/09/2025,6
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/08/2025,3
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/07/2025,2
Manner Baiyulan Plaza,上海东长治路588号白玉兰广场L1楼L1-21商铺,10/06/2025,3
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/11/2025,9
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/10/2025,10
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/09/2025,11
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/08/2025,12
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/07/2025,14
Manner Ganghui Plaza,上海虹桥路1号港汇恒隆广场3楼南北座长廊333E/F（靠近内外）,10/06/2025,8
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/11/2025,7
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/10/2025,11
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/09/2025,7
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/08/2025,7
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/07/2025,10
Manner Raffles City,上海东大名路999号北外滩来福士广场B2层26A号（近提篮桥站3号口）,10/06/2025,4
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/11/2025,13
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/10/2025,11
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/09/2025,8
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/08/2025,14
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/07/2025,12
Manner SRICE Hall,上海光复西路2690号长风生态商务区5号绿地内工业文明展示馆三楼,10/06/2025,11
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/11/2025,2
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/10/2025,10
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/09/2025,3
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/08/2025,7
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/07/2025,4
Manner Reel Mall,上海南京西路1601号芮欧百货B2层B237,10/06/2025,5
Manner Xintiandi,上海马当路119号一楼大堂A区,10/11/2025,3
Manner Xintiandi,上海马当路119号一楼大堂A区,10/10/2025,4
Manner Xintiandi,上海马当路119号一楼大堂A区,10/09/2025,1
Manner Xintiandi,上海马当路119号一楼大堂A区,10/08/2025,0
Manner Xintiandi,上海马当路119号一楼大堂A区,10/07/2025,6
Manner Xintiandi,上海马当路119号一楼大堂A区,10/06/2025,5
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/11/2025,0
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/10/2025,4
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/09/2025,4
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/08/2025,8
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/07/2025,10
Manner COHL UniHub,上海黄陂南路838弄中海环宇荟B1层B101,10/06/2025,7
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/11/2025,11
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/10/2025,16
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/09/2025,31
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/08/2025,24
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/07/2025,21
Manner IFC Mall,上海自由贸易试验区世纪大道8号上海国金中心D座地下二层LG2-45室,10/06/2025,19
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/11/2025,7
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/10/2025,8
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/09/2025,6
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/08/2025,8
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/07/2025,3
Manner Tengfei Mansion,上海九江路660-686号一层101A单元,10/06/2025,6
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/11/2025,10
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/10/2025,8
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/09/2025,17
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/08/2025,15
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/07/2025,14
Manner Xiansuo Mall,上海天山路1111号1层101单元、2层201单元,10/06/2025,14
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/11/2025,0
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/10/2025,2
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/09/2025,6
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/08/2025,4
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/07/2025,6
Manner Hongqiao Nanfeng Mall,上海遵义路150号虹桥南丰城北区1楼L113,10/06/2025,2